2025 Rank,2024 Rank,Company,Headquarters,Peer group,Carbon productivity,% Taxes paid,CEO–average worker pay ratio,% Gender-diverse board directors,% Sustainable revenue,% Sustainable investment,Final grade,Climate commitments
87,30.0,Risen Energy Co Ltd,"Ningbo, China",Semiconductor & electronic components mfg,"$11,966",0%,34:1,9%,97%,83%,C,
88,,Fresenius Medical Care AG,"Bad Homburg, Germany",Health care,"$47,710",10%,76:1,50%,37%,63%,C,
89,98.0,Manulife Financial Corp,"Toronto, Canada",Insurance companies,"$159,603",11%,152:1,54%,13%,N.A.,C,"1.5°C, SBTi"
90,,Anglo American PLC,"London, U.K.","Mining, smelting & refining","$2,452",22%,67:1,40%,49%,24%,C,
91,66.0,Sanofi SA,"Paris, France",Pharmaceutical & biotech mfg,"$154,001",15%,93:1,38%,11%,1%,C,"1.5°C, SBTi"
92,78.0,Coloplast A/S,"Humlebæk, Denmark",Medical equipment mfg,"$182,858",20%,48:1,33%,11%,0%,C-,"1.5°C, SBTi"
93,,Natwest Group PLC,"Edinburgh, U.K.",Banks,"$2,854,401",8%,46:1,50%,4%,N.A.,C-,NZBA
94,,KBC Groep NV,"Brussels, Belgium",Banks,"$1,395,043",6%,52:1,31%,3%,N.A.,C-,
95,96.0,IGM Financial Inc,"Winnipeg, Canada",Asset management,"$4,898,819",17%,47:1,33%,4%,N.A.,C-,NZAM
96,90.0,BNP Paribas SA,"Paris, France",Banks,"$2,501,944",6%,44:1,46%,2%,N.A.,C-,"SBTi, NZAM, NZAO, NZBA"
97,,Taiwan Cooperative Financial Holding Co Ltd,"Taipei, Taiwan",Banks,"$431,827",6%,,20%,12%,N.A.,D+,"1.5°C, SBTi"
98,100.0,Sysmex Corp,"Kobe, Japan",Instrumentation & other electronic mfg,"$245,929",21%,21:1,8%,37%,0%,D+,SBTi
99,,PNC Financial Services Group Inc,"Pittsburgh, U.S.",Banks,"$303,387",9%,152:1,33%,3%,N.A.,D+,
100,,Turkiye Sinai Kalkinma Bankasi,"Istanbul, Turkey",Banks,"$9,473,205",12%,,18%,15%,N.A.,D+,NZBA
